0,1.0000000000e+00,2.0179892253e+00,1.9010469436e+00
1,5.0000000000e-01,1.8704413979e+00,1.7534991162e+00
2,2.5000000000e-01,1.1077870952e+00,9.9084481355e-01
3,1.2500000000e-01,6.2324127930e-01,5.0629899761e-01
4,6.2500000000e-02,3.7040006620e-01,2.5345778451e-01
5,3.1250000000e-02,2.4344307440e-01,1.2650079271e-01
6,1.5625000000e-02,1.8009756331e-01,6.3155281619e-02
7,7.8125000000e-03,1.4849139537e-01,3.1549113683e-02
8,3.9062500000e-03,1.3270911428e-01,1.5766832592e-02
9,1.9531250000e-03,1.2482369294e-01,7.8814112522e-03
10,9.7656250000e-04,1.2088247681e-01,3.9401951225e-03
11,4.8828125000e-04,1.1891225047e-01,1.9699687803e-03
12,2.4414062500e-04,1.1792723374e-01,9.8495205047e-04
13,1.2207031250e-04,1.1743474961e-01,4.9246792223e-04
14,6.1035156250e-05,1.1718851362e-01,2.4623193239e-04
15,3.0517578125e-05,1.1706539715e-01,1.2311545724e-04
16,1.5258789062e-05,1.1700383929e-01,6.1557599834e-05
17,7.6293945312e-06,1.1697306046e-01,3.0778771175e-05
18,3.8146972656e-06,1.1695767107e-01,1.5389378674e-05
19,1.9073486328e-06,1.1694997636e-01,7.6946751469e-06
20,9.5367431641e-07,1.1694612901e-01,3.8473233835e-06
21,4.7683715820e-07,1.1694420525e-01,1.9235601903e-06
22,2.3841857910e-07,1.1694324296e-01,9.6127114012e-07
23,1.1920928955e-07,1.1694276240e-01,4.8070869162e-07
24,5.9604644775e-08,1.1694252118e-01,2.3949614479e-07
25,2.9802322388e-08,1.1694239825e-01,1.1656156494e-07
26,1.4901161194e-08,1.1694233865e-01,5.6956920166e-08
27,7.4505805969e-09,1.1694231629e-01,3.4605178376e-08
28,3.7252902985e-09,1.1694228649e-01,4.8028559879e-09
29,1.8626451492e-09,1.1694222689e-01,5.4801788787e-08
30,9.3132257462e-10,1.1694216728e-01,1.1440643356e-07
31,4.6566128731e-10,1.1694216728e-01,1.1440643356e-07
32,2.3283064365e-10,1.1694192886e-01,3.5282501266e-07
33,1.1641532183e-10,1.1694145203e-01,8.2966217087e-07
34,5.8207660913e-11,1.1694145203e-01,8.2966217087e-07
35,2.9103830457e-11,1.1693954468e-01,2.7370108037e-06
36,1.4551915228e-11,1.1694335938e-01,1.0776864619e-06
37,7.2759576142e-12,1.1692810059e-01,1.4181102601e-05
38,3.6379788071e-12,1.1694335938e-01,1.0776864619e-06
39,1.8189894035e-12,1.1688232422e-01,5.9957469788e-05
40,9.0949470177e-13,1.1682128906e-01,1.2099262604e-04
41,4.5474735089e-13,1.1694335938e-01,1.0776864619e-06
42,2.2737367544e-13,1.1669921875e-01,2.4306293854e-04
43,1.1368683772e-13,1.1621093750e-01,7.3134418854e-04
44,5.6843418861e-14,1.1718750000e-01,2.4521831146e-04
45,2.8421709430e-14,1.1328125000e-01,3.6610316885e-03
46,1.4210854715e-14,1.0937500000e-01,7.5672816885e-03
47,7.1054273576e-15,1.0937500000e-01,7.5672816885e-03
48,3.5527136788e-15,9.3750000000e-02,2.3192281689e-02
49,1.7763568394e-15,1.2500000000e-01,8.0577183115e-03
50,8.8817841970e-16,0.0000000000e+00,1.1694228169e-01
51,4.4408920985e-16,0.0000000000e+00,1.1694228169e-01
52,2.2204460493e-16,-5.0000000000e-01,6.1694228169e-01
53,1.1102230246e-16,0.0000000000e+00,1.1694228169e-01
54,5.5511151231e-17,0.0000000000e+00,1.1694228169e-01
